Urgent,High,Verified,Frequent,What is the type of property?,What is the size of the area needing artificial turf?,What preparation work(s) will be needed?,What kind of artificial turf do you need?,When would you like the work carried out?,How likely are you to make a hiring decision?,base_value,predicted_value,Credits,Lead Id
0.00579996706343204,0.22678337614867775,-0.0004395781162965151,0.0014504976297392929,0.13645113389329122,-0.001220448393877524,-4.265342185996851e-05,-0.00013764582885728073,0.03065081958214769,0.5512976611501806,6.050873246417119,7.001466376123696,7,48358515
-0.004151956310762787,-0.1555379167992083,-0.002308991259726497,0.001133815970034707,-0.08300076710822,-0.002018083908336069,7.280842197658014e-05,0.0002689484936098341,-0.026354566659336977,-0.779373602634744,6.050873246417119,4.999602934622405,5,48358920
-0.004055710857420255,-0.15438445798843764,-0.0021478008645909076,-0.0014795284393062653,-0.0832991868084132,-0.003799157560126001,0.00013458403342060828,0.00031313437919070836,-0.02787723183053014,-0.7813963784216592,6.050873246417119,4.992881512059245,5,48359722
-0.0010999194901645042,0.23683783751373172,0.0037637796645563206,-0.000925174956944224,0.13823775515391443,-0.00167864575451856,0.00013977187135107835,-0.0004390851276725169,0.004575198361465892,0.570787884887035,6.050873246417119,7.001072648539875,7,48360546
0.005804512375710071,0.22680160849074002,-0.00042307658754029635,0.0014375995688419689,0.13648603193016184,-0.0013470259061572122,8.760362138528618e-05,-0.0009965171378884165,0.03051101307420477,0.551326668016125,6.050873246417119,7.000561663862702,7,48361128
-0.0021612321878930487,-0.21418518117211996,0.0060751082270741755,-0.0009752286168678428,-0.07581545222415442,-0.0024175170000764567,-7.919856986656044e-05,-0.00017890228031229913,-0.002010321205847776,0.24079209830868448,6.050873246417119,5.999917419695739,6,48361867
-0.002693399252686677,-0.15938923321574963,-0.0015707244164844519,-0.0017187411997915648,-0.08321190075140693,-0.003564462558413847,-0.00013357252820002632,-0.00012362306175480673,-0.005585091346294864,-0.7967971835229463,6.050873246417119,4.9960853145633894,5,48362102
0.007649838002524794,-0.20869244231559958,-0.0016535581886900472,-0.0009877677506148783,-0.0766279979364192,-0.002158019625706477,0.00011154239183424598,-0.001295534781111764,-0.0024624904713946476,0.2364775852171409,6.050873246417119,6.001234400959082,6,48362750
0.007074082291557511,-0.1706193184409765,-0.0019433585123264296,0.00013753150669629688,-0.07553833977162525,-0.004365606790100604,-0.00019703887717535803,-0.0009253946821006828,-0.008132209796800145,0.17063239552088538,6.050873246417119,5.966995988865153,6,48363149
-0.0025008841425220663,-0.1823541568380779,0.00742732274320395,-0.0004827756928738279,-0.0606406202422925,-0.0033214056011614404,5.00029433471541e-05,-0.0003227605302735921,-0.004397529884005129,0.20420598100967396,6.050873246417119,6.008536420182137,6,48363363
-0.0024615453747691544,-0.1978649140537446,-0.0001295597399808389,-0.0012294765345185579,-0.07258919263976384,0.011623705872342007,0.0004135912035050701,0.0018555143727660914,-0.02831590774784086,0.24757774958669682,6.050873246417119,6.009753211361811,6,48363783
-0.0015277025878045296,0.24265849713903948,-0.0010145252662667004,0.00048067700609559787,0.137049867113227,-0.0016402759270830237,4.858132984285071e-06,-0.00043662577455121,0.003413695640185411,0.5724899375282048,6.050873246417119,7.00235164942115,7,48364203
